CarParkID,CarParkName_Zh_tw,OpeningHours_ServiceDay_ServiceTag,OpeningHours_ServiceDay_Monday,OpeningHours_ServiceDay_Tuesday,OpeningHours_ServiceDay_Wednesday,OpeningHours_ServiceDay_Thursday,OpeningHours_ServiceDay_Friday,OpeningHours_ServiceDay_Saturday,OpeningHours_ServiceDay_Sunday,OpeningHours_ServiceDay_NationalHolidays,OpeningHours_Description,OpeningHours_StartTime,OpeningHours_EndTime,OpeningHours_FreeOfCharge
10912east,嘉義東市停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10909,市府大樓地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10816,停14(蘭停八)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10918,新民二站停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
11006A,西市場忠義街停車場,全年適用,1,1,1,0,1,1,1,1,全日,00:00,23:59,0
Cityparking1,嘉義成仁站停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10902east,檜村里(機6)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10820,民族國小地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10814,大同國小(西榮街)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10721,中正公園地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
10915,轉運中心地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10906,垂楊國小地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10818,嘉義延平停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10504,文化公園(停6)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10701east,嘉義中山停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10909A,市府前廣場停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
DuDuhouse,吳鳳民族站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
11010,嘉義蘭井街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10904Aeast,新生路停車場民族站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
11006,西市場大樓停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10802,嘉義中興停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10909B,舊市公所停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10801east,博物館地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10819,中央廣場地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10817,停10(蘭停七)停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
10810,北港路(停9)停車場,全年適用,1,1,1,1,0,1,1,1,全日,00:00,23:59,0
11017,金財神停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
10808,火車站前停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
10904east,新生路停車場民國站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
10904,德安停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
STO002,停一停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
DS01,東石鄉港口宮停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P05,五都停車場嘉義站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
Puzi02,廣停六停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
DL01,明和休閒公園旁公有免費停車場(停一),全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P16,助安168嘉義高鐵站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
XT01,新港停一立體停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
P06,布袋港旅客服務中心停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
BD02,公有免費停車場（布袋文創對面停車場）,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
Cyhg07,朴子配天宮公有停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P02,強展金世界停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
DL02,大林後火車站公有免費停車場(停二),全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
MS0002,雲梯接駁停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
Puzi05,廣停八停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
P15,嘟嘟房高鐵嘉義站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
Cyhg06,公有免費停車場（朴子五路、祥和二路）,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P22,佛教大林慈濟醫院停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
Puzi01,廣停二停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
BD01,公有免費停車場（岑海里舊派出所旁停車場）,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P12,嘉義長庚醫院停車場(西側),全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
P20,樟腦寮月香停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,17:00,0
P19,嘟嘟房新港奉天宮站停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
P01,強展嘉大民雄校區停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
Puzi07,嘉義縣朴子市第一公有零售市場地下室停車場,全年適用,1,1,1,1,1,1,1,1,全日,06:30,22:30,0
MS01,民雄鄉公有臨時停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P17,好庭車停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
0001CYHG,朴子醫院停車場,全年適用,1,1,1,1,1,1,1,1,全日,07:00,15:00,0
P21,快樂停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
CYHG05,快捷停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P18,廉增停車場故宮南院站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
P07,布袋港第二停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
STO005,水上鄉停（四）停車場,全年適用,1,1,1,1,1,1,1,1,免費,00:00,00:00,1
P14,嘟嘟房嘉義朴子站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
P04,五都停車場高鐵嘉義二站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
P09,嘉義長庚醫院停車場（醫學大樓）,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
CYHG02,創新地下停車場,平日,1,1,1,1,1,0,0,0,全日,08:00,17:00,0
P03,嘉義二停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
ZPFA01,中埔鄉農會停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
Puzi06,廣停四停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
MS0001,梅山公園停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
STO003,停二停車場,全年適用,1,1,1,1,1,1,1,1,免費,00:00,00:00,1
P11,嘉義長庚醫院停車場（東北側）,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
Puzi04,廣停五停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
STO004,水上鄉停（三）停車場,全年適用,1,1,1,1,1,1,1,1,免費,00:00,00:00,1
DL03,大林體育運動公園前公有免費停車場(停三),全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
P08,布袋港第三停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
CYHG03,府前地下停車場,平日,1,1,1,1,1,0,0,0,全日,08:00,17:00,0
STO001,機一停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,08:00,1
P10,嘉義長庚醫院停車場（綜合醫學大樓）,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
P13,嘟嘟房嘉義大同站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
LJ03,六腳鄉公所公有停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
Cyhg01,公有免費停車場（仁和二路、小槺榔三路）,全年,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
Puzi03,廣停三停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
A5,稅務大樓地下停車場,平日,1,1,1,1,1,1,1,1,24小時,00:00,00:00,0
AG,東大陸橋停車場-中華站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
HSZ_MI,民富機械停車場,全年,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
ZH,中正市場停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
HSZ_LA,勞山新村機車停車場,全年,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
AI,竹光國民運動中心地下2樓及3樓停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
HSZ_CH,赤土崎地下停車場,平日、假日,1,1,1,1,1,1,1,1,24H,00:00,00:00,0
HSZ_FU,府後地下停車場,全日,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
57,火車站後站(一、二、三、四)汽車停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
HSZ_RA,後站機車第二停車場,全年,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
AA,頂竹圍地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
HSZ_MN,南大路機車停車場,全年,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
96,延平停車場,平日,1,1,1,1,1,1,1,1,24小時,00:00,00:00,0
HSZ_ZO,動物園地下停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
HSZ_NI,牛埔地下停車場,全日,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
HSZ_NA,南門機械停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
HSZ_ML,明志書院停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
AD,生命園區第一停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
AB,新科國中地下停車場 ,平日、假日,1,1,1,1,1,1,1,1,24H,00:00,23:59,0
44,停七停車場,平日、假日,1,1,1,1,1,1,1,1,24H,00:00,23:59,0
HSZ_NO,北區行政大樓地下停車場,全年適用,1,1,1,1,1,1,1,1,全日時段皆開放,00:00,23:59,0
HSZ_MP,明湖公園平面停車場,平日、假日,1,1,1,1,1,1,1,1,24H,00:00,00:00,0
AH,東大陸橋停車場-中央站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
HSZ_QL,青草湖立體停車場,平日、假日,1,1,1,1,1,1,1,1,24H,00:00,00:00,0
A00025,彪吉利停車場(國聯五路站),全年適用／平日／假日,1,1,1,1,1,1,1,1,全日／上午／下午,00:00,00:00,1
A00001,彪吉利(花蓮停三)汽(紅黃牌重機)車停車場,全年適用／平日／假日,1,1,1,1,1,1,1,1,全日／上午／下午,00:00,00:00,0
A00042,臺灣基督教門諾會醫療財團法人門諾醫院收費停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00080,鉄道商圈停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00061,富裕二街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,00:00,1
A00067,市八十三街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00015,WORLD GYM世界健身俱樂部停車場,全年適用,1,1,1,1,1,1,1,1,全日,06:00,23:59,0
A00035,林森停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00059,花蓮中山路停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
A00017,台灣國際開發事業有限公司花蓮醫院停車場,全年適用,1,1,1,1,1,1,1,1,全年適用,00:00,23:59,0
A00032,建程自由街停車場,全年,1,1,1,1,1,1,1,1,全日,06:00,06:00,0
A00021,花蓮壽豐車站停車場,全年,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00007,花蓮航空站計時收費停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00011,新港街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00072,好樂停 HAPPY PARKING–忠孝停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00045,國富二十二街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
A00073,好樂停HAPPY PARKING-中山停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00030,吉安仁里立體停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00043,中山明智停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00033,花蓮民生停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00023,彪吉利停車場(國盛站),全年適用／平日／假日,1,1,1,1,1,1,1,1,全日／上午／下午,00:00,00:00,0
A00079,城中大樓停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00013,明禮路停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00026,前站停車場,全年適用／平日／假日,1,1,1,1,1,1,1,1,全日／上午／下午,00:00,00:00,0
A00002,永發停車場-東洋站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00009,遠東百貨股份有限公司花蓮和平分公司,全年,1,1,1,1,1,1,1,1,09:00~22:30,09:00,22:30,0
A00050,國富二街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00016,P&P停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00040,花蓮文化創意產業園區停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00031, 東芥東大門停車場,全年適用,1,1,1,1,1,1,1,1,全日,08:00,00:00,0
A00048,博客停車場寶雅吉安場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00039,花蓮民德二停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00047,168停車聯盟花蓮東大門場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
A00068,花蓮富國停車場,全日,1,1,1,1,1,1,1,1,全日,00:00,00:00,0
A00054,盛昌停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
A00024,停佳安(花蓮停四)機車停車場,全年適用／平日／假日,1,1,1,1,1,1,1,1,全日／上午／下午,00:00,00:00,0
A00012,節約街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00034,停好停滿停車場中華國小站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00065,花蓮文化創意產業園區停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00038,花蓮民德一停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00057,國聯停車場,全年,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
A00046,國盛四街停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00028,遠雄海洋公園(股)公司,全年適用,1,1,1,1,1,1,1,1,全日,09:00,15:00,0
A00018,彪吉利停場車(國民段469號),全年適用／平日／假日,1,1,1,1,1,1,1,1,全日／上午／下午,00:00,00:00,0
A00078,TIMES 花蓮延平街,全年適用,1,1,1,1,1,1,1,1,全日,00:00,18:00,0
A00005,福廣仁愛停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
A00019,新康停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00044,停好車停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
A00010,花蓮市忠孝立體停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00049,花蓮市公園三民站,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00066,花蓮國聯停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00060,福品旅店停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00076,好樂停 HAPPY PARKING-中央停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00003,丞捷停車場 ,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00004,後火車站機車停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00014,TIMES 三民街,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00071,花蓮中山停車場,全日,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
A00070,吉安站前停車場,全年.24小時,1,1,1,1,1,1,1,1,全年.24小埘 ,00:00,23:59,0
A00036,統冠重慶店停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,1
A00022,佛教慈濟醫療財團法人花蓮慈濟醫院停車場,全年適用,1,1,1,1,1,1,1,1,全日,00:00,23:59,0
KEE22410,基隆新橫濱停車場,營運日,1,1,1,1,1,1,1,1,營運時段,00:00,24:00,0
KEE11106,海洋劇場停車場,假日,0,0,0,0,0,1,1,1,整日,00:00,24:00,0
KEE12501,鶯歌石溪停車場,不限營運日,1,1,1,1,1,1,1,1,全年24小時,00:00,24:00,0
KEE11307,信義國小地下停車場,營運日,1,1,1,1,1,1,1,1,營業時間,00:00,24:00,0
KEE12108,復育環保公園停車場,平日,1,1,1,1,1,0,0,0,整日,00:00,24:00,0
KEE11205,中興國小停車場,全日,1,1,1,1,1,1,1,1,全天營業,00:00,24:00,0
KEE12115,八斗子漁港C區停車場,全日,1,1,1,1,1,1,1,1,全天營業,00:00,24:00,0
KEE12105,基隆和平島公園停車場,營運日淡季,1,1,1,1,1,1,1,1,淡季,08:00,18:00,0
KEE11703,基隆七堵停車場,全年無休,1,1,1,1,1,1,1,1,全年無休,00:00,24:00,0
KEE11102,正濱國小收費立體停車場,全年無休,1,1,1,1,1,1,1,1,全年無休,00:00,24:00,0
KEE12112,南區大客車停車場,平日,1,1,1,1,1,0,0,0,整日,00:00,24:00,0
KEE12111,65高地停車場,不限營運日,1,1,1,1,1,1,1,1,24小時營運,00:00,24:00,0
KEE12117,基隆社寮橋停車場,營運日,1,1,1,1,1,1,1,1,營運時段,00:00,24:00,0
KEE11302,基隆成功站,全年無休,1,1,1,1,1,1,1,1,全天營業,00:00,24:00,0
KEE12402,西三停車場,全年無休,1,1,1,1,1,1,1,1,全年無休,00:00,24:00,0
KEE12706,光明停二停車場,不限營運日,1,1,1,1,1,1,1,1,全年24小時,00:00,24:00,0
KEE22112,基隆八尺門停車場,營運日,1,1,1,1,1,1,1,1,營業時間,00:00,24:00,0
KEE11303,南榮公墓殯儀館停車場,全日,1,1,1,1,1,1,1,1,全天營業,00:00,24:00,0
KEE12401,基隆市中和路168巷停車場,不限營運日,1,1,1,1,1,1,1,1,全年24小時,00:00,24:00,0
KEE11104,中正區行政大樓地下停車場,全年無休,1,1,1,1,1,1,1,1,全年無休,00:00,24:00,0
KEE12109,濱海遊憩區停車場,不限營運日,1,1,1,1,1,1,1,1,24小時營業,00:00,24:00,0
KEE12113,基隆和一停車場,營運日,1,1,1,1,1,1,1,1,營業時間,00:00,24:00,0
KEE12107,區域探索館平面停車場,假日,0,0,0,0,0,1,1,1,整日,00:00,24:00,0
KEE12707,福六街停車場,不限營運日,1,1,1,1,1,1,1,1,全年24小時,00:00,24:00,0
KEE12110,潮境公園停車場,假日,0,0,0,0,0,1,1,1,整日,00:00,24:00,0
KEE12203,基隆六合停車場,平日假日國定假日,1,1,1,1,1,1,1,1,平日假日國定假日,00:00,24:00,0
KEE12502,基隆安和停車場,不限營運日,1,1,1,1,1,1,1,1,24小時營業,00:00,24:00,0
