CarParkID,CarParkName_Zh_tw,TotalSpaces,Spaces_SpaceType,Spaces_IsMechanical,Spaces_HasChargingPoint,Spaces_NumberOfSpaces,Spaces_StayType
PT0014,東港鎮中山路平面式路外停車場,62,1,0,0,62,4
PT0016,東港漁港停車場,147,0,0,0,147,1
PT0001,縣府立體停車場,206,1,0,0,206,4
PT0004,自由路外停車場,78,1,0,0,78,4
PT0017,潮州車站停車場,63,1,0,0,63,4
PT0006,和平路路外停車場,98,1,0,0,98,4
PT0018,屏東榮民總醫院東側路外停車場,129,7,0,0,4,4
02P0C0001A,東區-公有-(停37)忠孝P,42,1,0,0,42,4
04P0C0006A,西區-公有-光明P,18,1,0,0,18,4
07P0C0018B,南屯區-公有-正心立體停車場,264,9,0,0,6,4
13P0C0004B,沙鹿區-公有-沙田立體P,278,2,0,0,92,1
06P0C0027A,西屯區-公有-秋紅谷平面停車場,1159,2,0,0,1045,4
08P0C0003A,北屯區-公有-(細廣停1)景賢P,105,1,0,0,105,1
04P0C0009C,西區-公有-柳川P,98,1,0,0,98,2
06P0C0003A,西屯區-公有-下石碑P,156,1,0,0,156,4
05P0C0007A,北區-公有-東欣P,63,1,0,0,63,4
28P0C0007A,大里區-公有-公六公園P,30,1,0,0,30,1
11P0C0003A,大甲區-公有-經國路P,68,1,0,0,68,4
28P0C0015A,大里區-公有-崇光P,24,1,0,0,24,1
08P0C0001A,北屯區-公有-(公49)新平公園附屬P,95,1,0,0,95,1
05P0C0005A,北區-公有-育樂P,58,1,0,0,58,4
02P0C0007A,東區-公有-東英P,109,1,0,0,102,2
08P0C0028A,北屯區-公有-平德停車場,10,1,0,0,10,4
08P0C0005A,北屯區-公有-(廣停66)新平P,150,1,0,0,150,1
18P0C0002A,大雅區-公有-三和公園附屬P,16,0,0,0,16,4
04P0C0014A,西區-公有-藍興P,39,1,0,0,39,255
06P0C0017A,西屯區-公有-細停二P,43,1,0,0,43,4
06P0C0021A,西屯區-公有-朝富P,171,1,0,0,171,255
27P0C0010A,太平區-公所-長安P,25,1,0,0,25,4
18P0C0004A,大雅區-公有-停六P,60,0,0,0,60,4
08P0C0009A,北屯區-公有-中興網球附設P,50,1,0,0,50,4
03P0C0006A,南區-公有-國資圖P,89,0,0,0,89,4
05P0C0017A,北區-公有-大湖停車場,60,1,0,0,60,4
06P0C0022A,西屯區-公有-福安P,37,15,0,0,37,4
06P0C0013B,西屯區-公有-東興立體P,361,1,0,0,361,1
06P0C0002A,西屯區-公有-上安P  ,14,1,0,0,13,2
05P0C0018A,北區-公有-永興停車場,43,1,0,0,43,1
06P0C0012A,西屯區-公有-忠義P  ,15,1,0,0,15,2
09P0C0006A,豐原區-公有-葫蘆墩圳平面P4,60,1,0,0,60,4
27P0C0003B,太平區-公有-新平立體P,196,1,0,0,196,4
09P0C0017A,豐原區-公有-環北站P,27,1,0,0,27,2
06P0C0032C,西屯區-公有-市政公園地下停車場,899,7,0,0,17,4
28P0C0011A,大里區-公有-立新社區P,22,1,0,0,22,4
03P0C0007A,南區-公有-崇倫公園附設P,47,1,0,0,47,1
07P0C0001A,南屯區-公有-三塊厝P,336,1,0,0,322,4
05P0C0013A,北區-公有-新興P,191,1,0,0,191,4
02P0C0003A,東區-公有-一心P,58,7,0,0,1,2
03P0C0010A,南區-公有-樹德P,72,1,0,0,72,3
17P0C0002C,潭子-公有-國民暨兒童運動中心(B2層)停車場,78,1,0,0,78,1
04P0C0008A,西區-公有-林森P,72,1,0,0,72,4
04P0C0013A,西區-公有-廣民P,11,1,0,0,11,255
11P0C0002A,大甲區-公有-停三P,75,0,0,0,75,4
06P0C0004A,西屯區-公有-大福P,17,1,0,0,17,2
17P0C0001A,潭子-公有-環中東路一段台74快速道路下P ,233,1,0,0,192,254
06P0C0010A,西屯區-公有-何厝P,27,1,0,0,27,254
07P0C0015A,南屯區-公有-錢嶺P,75,1,0,0,75,4
06P0C0008A,西屯區-公有-弘孝P  ,37,9,0,0,1,2
06P0C0030A,西屯區-公有-中央公園北側P,401,1,0,0,401,255
06P0C0005A,西屯區-公有-大墩P,52,1,0,0,52,254
08P0C0011A,北屯區-公有-天津P,26,1,0,0,26,254
02P0C0004A,東區-公有-三賢P,131,1,0,0,131,4
27P0C0008A,太平區-公有-平安廣場P,28,0,0,0,28,3
06P0C0019A,西屯區-公有-惠順P,108,2,0,0,192,255
27P0C0001A,太平區-公有-坪林森林附屬P,203,1,0,0,134,4
08P0C0016A,北屯區-公有-松竹P,472,1,0,0,472,254
03P0C0002A,南區-公有-南平P,75,1,0,0,75,2
08P0C0012A,北屯區-公有-天祥P,52,1,0,0,52,4
04P0C0011A,西區-公有-貴和P,17,1,0,0,17,255
08P0C0017A,北屯區-公有-松榮P,54,1,0,0,54,1
28P0C0009A,大里區-公有-立元P,222,1,0,0,221,4
03P0C0011A,南區-公有-崇倫北街19巷停車場,21,1,0,0,21,1
06P0C0018B,西屯區-公有-惠來立體P,554,0,0,0,393,255
27P0C0011A,太平區-公所-馬卡龍公園P,203,1,0,0,126,4
09P0C0018A,豐原區-公有-豐原區社會住宅預定地臨時停車場,32,2,0,0,50,4
06P0C0007A,西屯區-公有-太原P,22,1,0,0,22,4
07P0C0014A,南屯區-公有-黎明P,11,1,0,0,15,255
06P0C0028A,西屯區-公有-惠中停車場(A區),217,9,0,0,5,4
09P0C0015A,豐原區-公有-博愛重劃區P3、5,41,1,0,0,41,4
04P0C0007A,西區-公有-吉龍P,61,1,0,0,61,255
27P0C0005A,太平區-公有-新光廣兼停四P,72,1,0,0,72,4
06P0C0001B,西屯區-公有-(停71)漢口立體P,372,1,0,0,372,4
02P0C0006A,東區-公有-旱溪P,178,1,0,0,178,4
27P0C0009A,太平區-公有-育賢P,970,1,0,0,970,1
10P0C0005B,東勢區-公所-綜合立體P,367,1,0,0,307,1
08P0C0019A,北屯區-公有-軍福P,36,1,0,0,36,1
18P0C0003A,大雅區-公有-停四P,32,1,0,0,23,5
05P0C0010A,北區-公有-金龍P,32,1,0,0,32,255
09P0C0001A,豐原區-公有-大明路中興P,250,2,0,0,98,3
06P0C0029A,西屯區-公有-惠中停車場(B區),109,7,0,0,3,4
09P0C0009A,豐原區-公有-葫蘆墩圳平面P7,61,1,0,0,61,4
07P0C0005A,南屯區-公有-文心森林公園附屬P,116,1,0,0,116,4
07P0C0003A,南屯區-公有-大新P  ,43,1,0,0,41,2
02P0C0008A,東區-公有-信心P,195,1,0,0,195,255
08P0C0025A,北屯區-公有-(廣兼停7)南興P,205,1,0,0,205,4
09P0M0001A,豐原區-公有-橫街尾P,156,2,0,0,156,4
04P0C0016C,西區-公有-忠明公園地下停車場,80,1,0,0,80,4
05P0C0014C,北區-公有-臺中公園地下P  ,440,1,0,0,413,2
06P0C0020A,西屯區-公有-朝馬P  ,123,1,0,0,123,255
07P0C0007C,南屯區-公有-水安宮地下P,104,1,0,0,104,1
03P0C0001A,南區-公有-大慶P,131,1,0,0,131,254
05P0C0019C,北區-獎參-中正公園地下停車場,860,1,0,0,860,1
08P0C0021C,北屯區-公有-臺中市中央公園地下P,1334,2,0,0,522,255
08P0C0004A,北屯區-公有-(細廣停2)中平P,17,1,0,0,17,1
08P0C0006A,北屯區-公有-三光P,63,1,0,0,63,4
28P0C0016C,大里區-公有-國立興大附中地下P,231,1,0,0,230,4
08P0C0022A,北屯區-公有-(廣兼停5)祥和P,593,1,0,0,593,2
28P0C0013A,大里區-公有-廣兼停六P   ,163,1,0,0,163,1
07P0C0008A,南屯區-公有-南屯P  ,58,9,0,0,2,2
28P0C0003A,大里區-公有-仁興P,19,1,0,0,19,1
08P0C0020A,北屯區-公有-雷中P,23,0,0,0,23,1
06P0C0031A,西屯區-公有-中央公園南側P,376,1,0,0,376,255
28P0C0005A,大里區-公有-鳥竹圍公園P,53,1,0,0,53,1
07P0C0006A,南屯區-公有-文昌P,24,1,0,0,24,2
02P0C0010A,東區-公有-精武東P,37,1,0,0,37,255
18P0C0005A,大雅區-公有-中清雅潭P,14,1,0,0,5,4
02P0C0002A,東區-公有-(停61)十甲P,37,1,0,0,37,1
03P0M0001A,南區-公有-建國北P,821,2,0,0,759,2
24P0C0006C,大肚區-公所-大肚地下P,177,2,0,0,54,1
09P0C0004B,豐原區-公有-育英路立體P,164,1,0,0,164,4
05P0C0003A,北區-公有-中德P,29,1,0,0,29,255
04P0C0012C,西區-公有-萬壽棒球場附屬地下P,91,1,0,0,91,2
05P0C0012A,北區-公有-健行P,158,1,0,0,158,4
09P0C0002A,豐原區-公有-中陽路平面P,44,1,0,0,44,4
04P0C0003B,西區-公有-大益立體P,156,1,0,0,156,1
04P0C0004A,西區-公有-平和P,7,1,0,0,7,255
09P0C0011A,豐原區-公有-葫蘆墩圳平面P9,45,1,0,0,45,4
02P0C0005B,東區-公有-干城立體P,478,1,0,0,478,4
09P0C0010A,豐原區-公有-葫蘆墩圳平面P8,64,1,0,0,64,4
27P0C0012A,太平區-公所-祥順運動公園P,47,1,0,0,47,4
18P0C0001B,大雅區-公有-停一立體P,234,0,1,0,234,4
08P0C0014A,北屯區-公有-江興P,82,1,0,0,82,1
06P0C0015A,西屯區-公有-馬龍潭P,93,1,0,0,93,4
27P0C0007A,太平區-公有-長億P,29,0,0,0,29,3
28P0C0017B,大里區-公有-東榮立體P,295,0,0,0,295,1
07P0C0016A,南屯區-公有-豐功P,97,1,0,0,97,254
05P0C0001A,北區-公有-山西P,26,1,0,0,26,254
03P0C0005A,南區-公有-健康公園附設P,54,1,0,0,54,3
06P0C0025A,西屯區-公有-銀聯三村P,172,1,0,0,172,4
08P0C0029A,北屯區-公有-永和巷公園附屬停車場,65,1,0,0,65,4
11P0C0001A,大甲區-公有-文武P,34,1,0,0,34,4
07P0C0017A,南屯區-公有-豐樂P,359,1,0,0,359,254
02P0M0001A,東區-公有-大智北機車P,93,2,0,0,93,4
26P0C0001C,霧峰區-公所-本堂公園地下P,49,1,0,0,49,3
27P0C0002B,太平區-公有-中興立體P,198,1,0,0,198,1
06P0C0016A,西屯區-公有-國豐P,68,2,0,0,29,4
02P0C0009B,東區-公有-南京立體P,774,1,0,0,774,4
27P0C0006A,太平區-公有-新光廣停八P,56,0,0,0,56,3
28P0C0010A,大里區-公有-仁堤P,56,1,0,0,56,4
09P0C0005A,豐原區-公有-葫蘆墩圳平面P3,86,1,0,0,86,4
05P0C0008A,北區-公有-武昌P,21,1,0,0,21,2
09P0C0014A,豐原區-公有-博愛重劃區P11,6,1,0,0,6,4
28P0C0012A,大里區-公有-廣兼停五P   ,22,1,0,0,22,1
09P0C0012A,豐原區-公有-北陽路P,212,1,0,0,212,4
06P0C0014A,西屯區-公有-河南P  ,19,1,0,0,18,2
06P0C0006A,西屯區-公有-大鵬P  ,16,1,0,0,14,2
04P0C0010A,西區-公有-美村P,101,1,0,0,101,255
09P0C0016C,豐原區-公有-富春國小地下P,141,1,0,0,141,4
06P0C0024A,西屯區-公有-福順P  ,88,1,0,0,88,255
28P0C0014A,大里區-公有-廣兼停八P   ,156,1,0,0,156,1
03P0C0003A,南區-公有-城隍P,18,1,0,0,17,3
08P0C0027A,北屯區-公有-(廣停5)同榮P,140,1,0,0,140,4
04P0C0001A,西區-公有-(細停178)自立P,29,1,0,0,29,4
05P0C0004A,北區-公有-育強P,14,1,0,0,14,255
05P0C0016A,北區-公有-福音停車場,180,1,0,0,180,4
28P0C0001C,大里區-公有-大里運動公園地下P,960,1,0,0,960,4
07P0C0010A,南屯區-公有-馬祖P,57,1,0,0,59,255
08P0C0023A,北屯區-公有-(細廣停2)太和P,42,1,0,0,42,4
08P0C0026A,北屯區-公有-(廣兼停8)竹興P,125,1,0,0,125,4
09P0C0008A,豐原區-公有-葫蘆墩圳平面P6,64,1,0,0,64,4
07P0C0004C,南屯區-公有-大墩國中地下P,158,1,0,0,158,4
05P0C0015C,北區-公有-雙十國中地下停車場,102,1,0,0,102,4
06P0C0026A,西屯區-公有-櫻花P  ,21,9,0,0,1,2
08P0C0024A,北屯區-公有-(細廣兼停2)長富P,23,1,0,0,23,4
06P0C0011A,西屯區-公有-協和P  ,73,1,0,0,73,255
04P0C0005A,西區-公有-民龍P,25,1,0,0,25,254
08P0C0002A,北屯區-公有-(細廣停1)敦化P,13,1,0,0,13,254
08P0C0015A,北屯區-公有-昌和公園附設P,41,1,0,0,41,4
08P0C0010A,北屯區-公有-仁德P,141,1,0,0,141,254
03P0C0009A,南區-公有-德義P,30,1,0,0,30,3
28P0C0008A,大里區-公有-國光花市P,146,1,0,0,146,1
09P0C0003A,豐原區-公有-田心路平面P,37,1,0,0,37,4
28P0C0002A,大里區-公有-德芳興P,15,1,0,0,15,1
07P0C0013A,南屯區-公有-精科P,35,1,0,0,33,4
05P0C0002A,北區-公有-中賓P,178,1,0,0,178,2
04P0C0015A,西區-公有-雙龍P,17,1,0,0,17,4
02P0M0002A,東區-公有-舊建國市場臨時P,965,2,0,0,835,4
07P0C0012A,南屯區-公有-新厝P,130,1,0,0,130,4
12P0C0001A,清水區-公有-牛罵頭P,84,1,0,0,84,4
06P0C0023A,西屯區-公有-福恩P,56,1,0,0,56,4
09P0C0007A,豐原區-公有-葫蘆墩圳平面P5,43,1,0,0,43,4
04P0C0002A,西區-公有-土庫P,93,1,0,0,93,2
06P0C0009A,西屯區-公有-同心P  ,15,9,0,0,1,2
03P0C0008A,南區-公有-復興P,9,1,0,0,9,3
09P0C0013A,豐原區-公有-廣兼停二P,134,1,0,0,134,2
28P0C0006A,大里區-公有-國光公園P,29,1,0,0,29,1
17P0C0003B,潭子區-公有-潭興立體停車場,300,1,0,0,300,4
05P0C0011A,北區-公有-建成P,58,1,0,0,58,2
05P0C0006A,北區-公有-忠明路臨時P,100,1,0,0,100,4
07P0C0009A,南屯區-公有-春安P,33,0,0,0,33,255
07P0C0011A,南屯區-公有-惠文P,310,1,0,0,310,255
08P0C0013C,北屯區-公有-民俗公園地下P,273,1,0,0,273,4
08P0C0018A,北屯區-公有-軍功P,41,1,0,0,41,1
03P0C0012A,南區-公有-城隍機車停車場,104,2,0,0,104,4
03P0C0013A,南區-公有-工學六街停車場,9,0,0,0,9,4
27P0C0004A,太平區-公有-新光廣兼停一P,68,0,0,0,68,3
07P0C0002A,南屯區-公有-大進P,29,1,0,0,29,4
05P0C0009A,北區-公有-金華P,45,1,0,0,45,4
03P0C0004C,南區-公有-健康公園地下P,31,1,0,0,31,1
28P0C0004A,大里區-公有-大新P,29,1,0,0,29,1
47940406,林默娘停車場,395,2,0,0,212,4
85744208,崇善路龍山停車場,158,11,0,0,7,4
88909858,復興停車場,23,1,0,0,23,2
85766482-2,南科西側停車場,314,2,0,0,290,4
47940378,水景停車場,125,1,0,0,125,4
47847561,新營綠都心停車場,295,1,0,0,295,2
81290486,長榮崇明停車場,16,11,0,0,1,2
89096035,和平公園停車場,90,11,0,1,5,2
47862936,公園南路停車場,280,11,0,0,14,2
40814707,東光路地下停車場,504,15,0,1,252,5
89022098,新市富中停車場,77,1,0,1,77,4
97100722,臺南航空站旅客停車場,114,1,0,0,114,2
47931027,北安停車場,17,1,0,1,17,4
54555420,海安地下停車場,1036,1,0,1,1036,2
47911872,崇明E6停車場,115,11,0,0,3,4
88908324,目加溜灣橋下停車場,62,1,0,0,62,2
81401856,裕文停車場,20,1,0,0,20,2
81339426,泉南里停車場,17,11,0,0,1,2
85585519,永福停車場,34,1,0,1,34,4
88908318,臺鐵南科車站西側(第二區)停車場,33,1,0,0,33,2
81401820,華平二停車場,20,1,0,1,20,4
37709940,五都停車場高鐵台南二站,89,1,0,0,89,4
88917506,太子成大勝利(太子會館),272,1,0,1,272,4
81319060,富北停車場,11,1,0,1,11,4
81290514,東橋八街停車場,91,11,0,0,2,2
47911795,崇明E37停車場,28,11,0,0,1,4
81319364,水交社停車場,199,1,0,1,199,4
81401841,立德停車場,133,1,0,0,133,2
89038628,友愛街機車停車場,103,12,0,0,5,2
81386285,永康大橋後站停車場,21,1,0,0,21,3
81946029,兵仔市停車場,32,1,0,1,32,4
47940399-2,港濱停車場 (第二區),22,1,0,0,20,4
81290471,民生路停車場,124,11,0,0,6,2
85567580,興濟二站停車場,32,1,0,1,32,4
81496017,五都停車場台南車寶貝站,142,1,0,0,142,4
10740980,建業停車場,47,1,0,1,47,4
89021751,台南府連停車場,53,1,0,1,53,4
47862942,西門育賢停車場,29,11,0,0,2,2
88915991,善化中正停車場,11,1,0,1,11,4
47911818,和平公園停車場,85,11,0,0,2,4
81613227,台南健康停車場,20,1,0,1,20,4
47847561-A,大宏社區停車場,27,1,0,0,27,2
47927760,關聖里停車場,68,1,0,0,68,2
40856918,廣二機車停車場,389,12,0,0,4,4
47927776,台南南一停車場,18,1,0,1,18,4
89050713,平實公園地下停車場,226,11,0,0,12,2
88864091,成大勝利停車場,90,1,0,1,90,4
47940383,億載停車場,92,11,0,1,2,4
47939674,大學路(社E2)停車場,277,11,0,1,4,4
47885804,萬昌停車場,27,1,0,0,27,2
85766716-2,富安三街停車場,175,1,0,0,175,4
37695615,五都停車場高鐵台南站,452,2,0,0,17,4
81368744,東興停車場,39,1,0,1,39,4
85766716-1,富中街停車場,129,1,0,0,129,4
47885810,環河停車場,34,1,0,0,34,2
47911839,德光公園停車場,20,11,0,0,1,4
88918738,新營和平停車場,30,1,0,1,30,4
89049982,台南會展中心停車場,416,1,0,0,416,2
47931011,西華停車場,18,1,0,1,18,4
81320382,大學路社E1停車場,57,1,0,0,52,2
37621369,高鐵橋下台南停車場,198,1,0,0,198,3
88908204,LM陽光電城停車場,101,1,0,0,101,2
85766482-1,南科東側停車場,298,2,0,0,236,4
88909843,復華一街停車場,55,1,0,0,55,2
89050734,大道停6停車場,56,11,0,0,3,2
89050740,北園公兒停車場,167,11,0,0,9,2
81305474,永福路停車場,27,11,0,0,1,2
47940399-1,港濱停車場 (第一區),38,1,0,0,36,4
47882362,榮譽街停車場,352,1,0,0,352,2
89050973,中華路58巷停車場,52,11,0,0,3,2
89050848,運河星鑽停車場,28,11,0,0,2,2
81305489,民族路停車場,28,1,0,0,25,2
47941279,永華停車場,46,1,0,1,46,4
102,承德公園地下停車場,182,1,0,1,182,255
081,康樂立體停車場,150,1,0,0,150,255
062,忠孝玉成停車場,49,1,0,0,49,255
003,臺北市災害應變中心地下停車場,169,1,0,1,169,255
014,興雅國中地下停車場,447,1,0,1,447,255
028,松山高中地下停車場,226,1,0,1,226,255
078,洲子立體停車場,390,1,0,1,390,255
033,進安公園地下停車場,154,1,0,0,154,255
165,玉成公園地下停車場,412,1,0,1,412,255
187,松山工農地下停車場,239,1,0,1,239,255
015,峨眉立體停車場,518,1,0,0,518,255
055,市民大道(塔城段),252,1,0,1,252,255
667,木柵社會住宅地下停車場,92,1,0,0,92,255
018,洛陽綜合立體停車場,1654,1,0,0,1654,255
020,百齡高中地下停車場,231,1,0,0,231,255
084,麗湖國小地下停車場,229,1,0,0,229,255
022,五分埔公園地下停車場,210,1,0,0,210,255
372,八德立體停車場,310,1,0,0,310,255
019,塔城公園地下停車場,155,1,0,1,155,255
105,玉成國小地下停車場,285,1,0,1,285,255
195,新糖廍公園地下停車場,70,1,0,0,70,255
760,延平國小地下停車場,309,1,0,0,309,255
023,民權公園地下停車場,731,1,0,0,731,255
120,世貿公園地下停車場,400,1,0,1,400,255
027,景華公園地下停車場,750,1,0,1,750,255
036,大豐公園地下停車場,234,1,0,0,234,255
082,永盛公園地下停車場,224,1,0,1,224,255
070,榮星花園地下停車場,247,1,0,0,247,255
114,景美國小地下停車場,253,1,0,0,253,255
103,南港國小地下停車場,311,1,0,1,311,255
032,西松高中地下停車場,341,1,0,0,341,255
048,信義廣場地下停車場,372,1,0,1,372,255
093,建成公園地下停車場,227,1,0,0,227,255
097,海光公園地下停車場,105,1,0,1,105,255
124,社子國小地下停車場,476,1,0,0,476,255
031,附中公園地下停車場,116,1,0,1,116,255
075,中崙高中地下停車場,354,1,0,0,354,255
079,僑安地下停車場,422,1,0,0,422,255
052,民生社區活動中心地下停車場,155,1,0,0,155,255
040,健康國小地下停車場,199,1,0,0,199,255
060,台北時代寓所地下平面停車場,137,1,0,0,137,255
784,廣慈社會住宅1區地下停車場,369,1,0,0,369,255
002,松壽廣場地下停車場,455,1,0,0,455,255
043,興中立體停車場,650,1,0,1,650,255
215,莒光立體停車場,123,1,0,0,123,255
092,濱江國中地下停車場,215,1,0,0,215,255
111,蘭雅公園地下停車場,155,1,0,1,155,255
640,萬華車站地下停車場,297,1,0,0,297,255
049,大業立體停車場,120,1,0,0,120,255
038,成德立體停車場,180,1,0,0,180,255
783,小彎社會住宅地下停車場,237,1,0,0,237,255
722,東明公共住宅乙區地下停車場,325,1,0,0,325,255
087,民有市場地下停車場,334,1,0,1,334,255
067,雙園國中地下停車場,314,1,0,1,314,255
193,松山國小地下停車場,292,1,0,0,292,255
029,東湖國小地下停車場,358,1,0,0,358,255
249,啟聰學校地下停車場,171,1,0,1,171,255
099,長安國小地下停車場,280,1,0,1,280,255
720,健康2區社會住宅地下停車場,148,1,0,0,148,255
037,大安高工地下停車場,527,1,0,0,527,255
107,信義國小地下停車場,232,1,0,1,232,255
718,青年一期社會住宅地下停車場,132,1,0,0,132,255
666,明倫社會住宅地下停車場,239,1,0,0,239,255
066,揚雅立體停車場,200,1,0,0,200,255
829,安康公車調度站臨時平面停車場,117,1,0,0,117,255
721,東明公共住宅甲區地下停車場,64,1,0,0,64,255
714,瑞光社會住宅地下停車場,194,1,0,0,194,255
034,辛亥國小地下停車場,132,1,0,0,132,255
016,中山堂地下停車場,441,1,0,0,441,255
073,林森公園地下停車場,850,1,0,1,850,255
702,大港墘公園地下停車場,258,1,0,0,258,255
128,萬興國小地下停車場,226,1,0,1,226,255
057,市民大道(公中段),184,1,0,1,184,255
109,湖興立體停車場,251,1,0,0,251,255
085,臺北花木批發市場地下停車場,420,1,0,0,420,255
059,市民大道(林金段),993,1,0,1,993,255
106,蓬萊國小地下停車場,286,1,0,0,286,255
113,興隆公園地下停車場,253,1,0,0,253,255
054,北寧路地下停車場,78,1,0,0,78,255
068,文昌國小地下停車場,222,1,0,0,222,255
713,新奇岩社會住宅地下停車場,170,1,0,0,170,255
100,臺北榮民總醫院地面停車場,334,1,0,0,334,255
005,立農公園地下停車場,204,1,0,1,204,255
098,港富立體停車場,244,1,0,0,244,255
119,大龍國小地下停車場,266,1,0,1,266,255
001,府前廣場地下停車場,2043,1,0,0,2043,255
058,市民大道(中林段),506,1,0,1,506,255
080,龍門國中地下停車場,730,1,0,1,730,255
044,青年公園高爾夫球場地下停車場,319,1,0,0,319,255
007,萬華國中地下停車場,519,1,0,1,519,255
785,廣慈社會住宅2區地下停車場,268,1,0,0,268,255
053,民生立體停車場,457,1,0,0,457,255
056,大安森林公園地下停車場,1352,1,0,0,1352,255
090,萬板地下停車場,180,1,0,0,180,255
129,西康地下停車場,88,1,0,0,88,255
039,社園立體停車場,260,1,0,0,260,255
025,古亭國中地下停車場,254,1,0,1,254,255
024,金華公園地下停車場,189,1,0,0,189,255
035,成淵高中地下停車場,265,1,0,1,265,255
030,大稻埕公園地下停車場,203,1,0,0,203,255
089,春光公園地下停車場,219,1,0,0,219,255
086,振興公園地下停車場,210,1,0,0,210,255
096,石牌國小地下停車場,472,1,0,0,472,255
041,忠信地下停車場,314,1,0,0,314,255
188,松山車站地下停車場,431,1,0,1,431,255
768,興隆公宅D1停車場,128,1,0,0,128,255
042,建成國中地下停車場,326,1,0,1,326,255
088,三張里地下停車場,366,1,0,1,366,255
021,前港公園地下停車場,524,1,0,1,524,255
071,朝陽公園地下停車場,244,1,0,0,244,255
069,青年公園棒球場地下停車場,270,1,0,0,270,255
229,歐特儀股份有限公司捷運石牌站轉乘停車場,194,1,0,1,194,255
072,福林公園地下停車場,241,1,0,0,241,255
719,健康1區社會住宅地下停車場,134,1,0,0,134,255
074,偶戲博物館地下停車場,71,1,0,0,71,255
TTT016,長濱鄉壹號停車場,48,1,0,0,48,5
TTT010,台東火車站四處路外停車場(A區),112,1,0,0,112,3
TTT019,台東新生地下停車場,301,1,0,0,301,4
AO040002,五福地下停車場,124,1,0,0,124,1
AO060006,新榮平面停車場,36,1,0,0,36,1
AO020014,站前東停車場,73,1,0,0,73,4
AO030009,建國一村停車場,271,1,0,0,271,4
AO020017,延平立體停車場,201,1,0,0,201,4
AO020028,中央地下停車場,312,9,0,0,8,4
AO070005,大和段停車場,45,0,0,0,45,4
AO070017,明光街停車場,43,1,0,0,40,1
AO100003,大園區廣停二停車場,29,1,0,0,29,4
AO100007,大園區停六停車場,38,1,0,0,38,4
AO020007,中壢自強立體停車場,314,1,0,0,314,1
AO070014,建德停車場,40,1,0,0,40,1
AO020027,永發停車場,146,1,0,0,146,4
AO020036,文化公園停車場,329,11,0,1,12,4
AO010006,龍安一停車場,17,1,0,0,17,1
AO040001,南崁公一地下停車場,586,1,0,0,586,1
AO010012,朝陽公園停車場,45,1,0,0,45,1
AO020009,廣停一停車場,77,1,0,0,77,4
